Ncoders,who,when,what,observations,ground_truth,distance,CVR,Kalpha
15,94,6,0,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 15}]","{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson'}",0,1,1
18,8272,0,1,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 15}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}]",,1,1,0.428
21,7275,0,1,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 18}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}]",,0,1,0.498
24,156,0,1,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 21}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}]",,0,1,0.553
27,2012,3,2,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 21}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}, {'situation': 'BlockedBuilding', 'object': 'People', 'coders': 3}]",,1,1,0.43
30,7182,3,2,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 21}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}, {'situation': 'BlockedBuilding', 'object': 'People', 'coders': 6}]",,1,1,0.294
33,8673,3,3,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 21}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}, {'situation': 'BlockedBuilding', 'object': 'People', 'coders': 6}, {'situation': 'EmergencyBuilding', 'object': 'MiddleAgePerson', 'coders': 3}]",,1,0,0.256
36,3584,15,3,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 21}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}, {'situation': 'BlockedBuilding', 'object': 'People', 'coders': 6}, {'situation': 'EmergencyBuilding', 'object': 'MiddleAgePerson', 'coders': 6}]",,1,0,0.187
39,368,9,3,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 24}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}, {'situation': 'BlockedBuilding', 'object': 'People', 'coders': 6}, {'situation': 'EmergencyBuilding', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,0,0.228
42,2572,9,3,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 27}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}, {'situation': 'BlockedBuilding', 'object': 'People', 'coders': 6}, {'situation': 'EmergencyBuilding', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,0,0.266
45,7711,12,3,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 27}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}, {'situation': 'BlockedBuilding', 'object': 'People', 'coders': 6}, {'situation': 'EmergencyBuilding', 'object': 'MiddleAgePerson', 'coders': 9}]",,1,0,0.216
48,664,18,3,"[{'situation': 'BlockedBuilding', 'object': 'MiddleAgePerson', 'coders': 30}, {'situation': 'EmergencyBuilding', 'object': 'People', 'coders': 3}, {'situation': 'BlockedBuilding', 'object': 'People', 'coders': 6}, {'situation': 'EmergencyBuilding', 'object': 'MiddleAgePerson', 'coders': 9}]",,0,0,0.249
