Ncoders,who,when,what,observations,ground_truth,distance,CVR,Kalpha
2,9650,0,0,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 2}]","{'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson'}",1,-2,1
4,2452,0,1,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 2}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 2}]",,0,-2,-0.167
6,2794,0,1,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 2}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 4}]",,0,0,0.022
8,4888,0,1,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 2}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,0,0,0.196
10,1345,6,1,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 6}]",,1,0,-0.013
14,22,12,1,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 10}]",,0,0,0.152
16,505,12,2,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 10}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}]",,3,0,0.168
18,4252,0,3,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 10}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 2}]",,1,0,0.141
20,986,0,3,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 10}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 4}]",,1,0,0.085
22,2902,0,3,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 10}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 6}]",,1,0,0.064
24,3143,0,3,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 10}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 8}]",,1,0,0.063
26,4353,0,3,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 10}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 10}]",,1,0,0.074
28,4490,0,3,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 12}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 10}]",,0,0,0.091
30,8719,0,3,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 14}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 10}]",,0,0,0.112
32,9618,0,4,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 14}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 10}, {'situation': 'EmergencyPeople', 'object': 'YoungPerson', 'coders': 2}]",,2,0,0.118
34,8738,18,4,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 16}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 10}, {'situation': 'EmergencyPeople', 'object': 'YoungPerson', 'coders': 2}]",,0,0,0.141
36,9530,18,5,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 16}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 10}, {'situation': 'EmergencyPeople', 'object': 'YoungPerson', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'YoungPerson', 'coders': 2}]",,3,0,0.135
38,8395,3,6,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 4}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 16}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 10}, {'situation': 'EmergencyPeople', 'object': 'YoungPerson', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'YoungPerson', 'coders': 2}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 2}]",,1,0,0.127
40,7551,3,6,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 16}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 10}, {'situation': 'EmergencyPeople', 'object': 'YoungPerson', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'YoungPerson', 'coders': 2}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 2}]",,1,0,0.112
42,726,30,6,"[{'situation': 'StarvingPeople', 'object': 'MiddleAgePerson', 'coders': 6}, {'situation': 'NoWaterPeople', 'object': 'MiddleAgePerson', 'coders': 18}, {'situation': 'NoWaterPeople', 'object': 'Outdoor', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'People', 'coders': 10}, {'situation': 'EmergencyPeople', 'object': 'YoungPerson', 'coders': 2}, {'situation': 'StarvingPeople', 'object': 'YoungPerson', 'coders': 2}, {'situation': 'NoWaterPeople', 'object': 'People', 'coders': 2}]",,0,0,0.13
