Ncoders,who,when,what,observations,ground_truth,distance,CVR,Kalpha
6,1653,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 6}]","{'situation': 'NoWaterPeople', 'object': 'BakeryShop'}",0,1,1
12,1042,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 12}]",,0,1,1
18,195,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 18}]",,0,1,1
24,7963,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 24}]",,0,1,1
30,1719,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 30}]",,0,1,1
36,7355,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 36}]",,0,1,1
42,8256,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 42}]",,0,1,1
48,2047,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 48}]",,0,1,1
54,3086,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 54}]",,0,1,1
60,4896,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 60}]",,0,1,1
66,5676,0,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 66}]",,0,1,1
72,3590,12,0,"[{'situation': 'NoWaterPeople', 'object': 'BakeryShop', 'coders': 72}]",,0,1,1
